Id,category,type,city,region,size,room_count,bathroom_count,price
5991,Appartements,À Vendre,Sousse,Hammam Sousse,52.0,1.0,1.0,70.0
8616,Maisons et Villas,À Vendre,Bizerte,Autres villes,130.0,3.0,2.0,180.0
6820,Maisons et Villas,À Vendre,Kasserine,Kasserine,250.0,5.0,2.0,198.0
7710,Appartements,À Louer,Tunis,L'aouina,80.0,1.0,1.0,5.0
3557,Appartements,À Louer,Tunis,La Marsa,120.0,2.0,2.0,1.8
5272,Appartements,À Louer,Monastir,Autres villes,120.0,3.0,1.0,0.38
7471,Maisons et Villas,À Louer,Ariana,Ennasr,300.0,7.0,4.0,1.8
8368,Appartements,À Louer,Ariana,Borj Louzir,100.0,2.0,1.0,0.45
4046,Maisons et Villas,À Louer,Ben arous,El Mourouj,100.0,2.0,1.0,0.08
3294,Maisons et Villas,À Louer,Ariana,Sidi Thabet,450.0,4.0,2.0,0.7
12147,Maisons et Villas,À Louer,Ben arous,El Mourouj,110.0,2.0,1.0,0.48
7773,Terrains et Fermes,À Vendre,Ariana,Sidi Thabet,,,,80.0
11208,Terrains et Fermes,À Vendre,Sfax,Autres villes,,,,195.0
8369,Terrains et Fermes,À Vendre,La manouba,La manouba,,,,280.0
11510,Terrains et Fermes,À Vendre,Nabeul,Autres villes,,,,14.0
9109,Terrains et Fermes,À Vendre,Sousse,Zaouit-Ksibat Thrayett,,,,180.0
1862,Colocations,À Louer,Tunis,La Goulette,100.0,3.0,2.0,0.2
12278,Appartements,À Louer,Sousse,Hammam Sousse,100.0,2.0,1.0,0.85
421,Appartements,À Vendre,Gafsa,Autres villes,130.0,3.0,1.0,140.0
9149,Appartements,À Louer,Ariana,La Soukra,125.0,2.0,1.0,1.5
11231,Terrains et Fermes,À Vendre,Médenine,Djerba - Midoun,,,,110.0
11052,Locations de vacances,À Louer,Ben arous,Boumhel,130.0,3.0,2.0,0.77
3185,Appartements,À Louer,Ariana,Autres villes,65.0,2.0,1.0,1.1
307,Appartements,À Louer,Sousse,Hammam Sousse,85.0,2.0,1.0,0.8
10728,Appartements,À Vendre,Sousse,Kalaâ Sghira,100.0,2.0,1.0,55.0
10657,Appartements,À Louer,Ariana,Autres villes,150.0,3.0,1.0,0.38
7220,Maisons et Villas,À Vendre,Bizerte,Ras Jebel,240.0,6.0,3.0,260.0
9448,Appartements,À Vendre,Tunis,Tunis,260.0,3.0,2.0,600.0
5128,Terrains et Fermes,À Vendre,Bizerte,Ras Jebel,,,,135.0
12405,Appartements,À Vendre,Tunis,L'aouina,155.0,3.0,1.0,380.0
6876,"Magasins, Commerces et Locaux industriels",À Louer,Monastir,Monastir,50.0,1.0,0.0,0.8
9113,Maisons et Villas,À Louer,Monastir,Monastir,200.0,3.0,2.0,0.65
8318,Appartements,À Vendre,Nabeul,Mrezga,71.0,1.0,1.0,163.3
7765,Maisons et Villas,À Vendre,Mahdia,Autres villes,250.0,5.0,2.0,630.0
11258,Terrains et Fermes,À Vendre,La manouba,Autres villes,,,,45.0
154,Terrains et Fermes,À Vendre,Sfax,Autres villes,,,,30.0
7135,Locations de vacances,À Louer,Ariana,Autres villes,70.0,1.0,1.0,0.08
10230,Appartements,À Louer,Jendouba,Tabarka,50.0,1.0,1.0,0.05
6310,Terrains et Fermes,À Vendre,Ariana,La Soukra,,,,700.0
6432,Appartements,À Vendre,Sousse,Akouda,90.0,2.0,1.0,150.0
2268,Bureaux et Plateaux,À Louer,Ariana,La Soukra,145.0,2.0,1.0,1.25
4961,Terrains et Fermes,À Vendre,Ben arous,Mornag,,,,225.0
660,"Magasins, Commerces et Locaux industriels",À Vendre,Tunis,Autres villes,140.0,1.0,1.0,111.111
3476,"Magasins, Commerces et Locaux industriels",À Vendre,Tunis,L'aouina,140.0,1.0,1.0,196.0
3044,Appartements,À Vendre,La manouba,Oued Ellil,72.0,2.0,1.0,85000.0
11517,Terrains et Fermes,À Vendre,La manouba,Denden,,,,285.0
12326,Maisons et Villas,À Louer,Ben arous,Boumhel,150.0,3.0,1.0,0.6
123,Terrains et Fermes,À Vendre,Ariana,La Soukra,,,,293.04
971,Maisons et Villas,À Vendre,Ariana,La Soukra,280.0,5.0,1.0,450.0
2192,Maisons et Villas,À Louer,Ben arous,Autres villes,220.0,3.0,2.0,1.4
6859,Bureaux et Plateaux,À Louer,Tunis,Centre Urbain Nord,150.0,4.0,1.0,1.8
10764,Maisons et Villas,À Vendre,Bizerte,Autres villes,300.0,3.0,1.0,230.0
2963,Appartements,À Louer,Sousse,Sousse Jawhara,145.0,3.0,1.0,0.7
4374,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,51.0
685,Appartements,À Louer,La manouba,La manouba,80.0,1.0,1.0,0.45
2556,Appartements,À Vendre,Sfax,Route Soukra,75.0,3.0,1.0,90.0
2254,Appartements,À Louer,Tunis,Manar,70.0,2.0,1.0,0.2
10139,Maisons et Villas,À Louer,La manouba,Douar Hicher,90.0,3.0,1.0,0.28
436,Appartements,À Louer,Tunis,Mutuelleville,35.0,1.0,1.0,0.7
5609,Terrains et Fermes,À Vendre,Ariana,Ariana Ville,,,,8500.0
122,Terrains et Fermes,À Vendre,Gafsa,Gafsa Nord,,,,113.0
11858,Appartements,À Louer,Tunis,L'aouina,100.0,1.0,1.0,0.95
4618,Maisons et Villas,À Vendre,Bizerte,Ras Jebel,170.0,2.0,1.0,190.0
3335,Appartements,À Vendre,Tunis,Autres villes,125.0,2.0,1.0,170.0
5359,Maisons et Villas,À Louer,Kairouan,Kairouan,100.0,3.0,1.0,0.35
7507,Appartements,À Louer,Ben arous,El Mourouj,76.0,2.0,1.0,0.45
705,Appartements,À Vendre,Ariana,Autres villes,140.0,3.0,3.0,360.0
11956,Appartements,À Vendre,Monastir,Autres villes,70.0,2.0,1.0,150.0
8359,Terrains et Fermes,À Vendre,Gabès,Mareth,,,,40.0
3864,"Magasins, Commerces et Locaux industriels",À Vendre,Tunis,Tunis,42.0,1.0,1.0,450.0
8947,Locations de vacances,À Louer,Ariana,Ariana Ville,65.0,2.0,1.0,0.07
9706,Terrains et Fermes,À Vendre,Ariana,Autres villes,,,,550.0
4473,Terrains et Fermes,À Vendre,Sfax,Route el Afrane,,,,210.0
7134,Appartements,À Vendre,Tunis,La Marsa,179.0,3.0,1.0,870.0
8073,Terrains et Fermes,À Vendre,Ariana,Raoued,,,,130.0
12730,Appartements,À Louer,Ben arous,Mornag,95.0,2.0,1.0,0.4
10077,Appartements,À Vendre,Sousse,Hergla,59.0,1.0,1.0,120.0
5553,"Magasins, Commerces et Locaux industriels",À Vendre,Tunis,Autres villes,30.0,1.0,1.0,35.0
5095,Terrains et Fermes,À Vendre,Sousse,Kondar,,,,60.0
8880,Appartements,À Louer,Tunis,Le Kram,92.0,2.0,1.0,0.4
3280,Maisons et Villas,À Louer,Ariana,Jardins D'el Menzah,330.0,6.0,4.0,2.0
1690,"Magasins, Commerces et Locaux industriels",À Louer,Sfax,Route el Ain,700.0,2.0,1.0,0.9
8099,Appartements,À Vendre,Monastir,Autres villes,125.0,2.0,1.0,250.0
3908,Terrains et Fermes,À Vendre,Ariana,Raoued,,,,400.0
1844,Maisons et Villas,À Vendre,Tunis,Autres villes,100.0,3.0,1.0,95.0
7193,Bureaux et Plateaux,À Louer,Sousse,Sahloul,60.0,2.0,1.0,0.85
2015,Terrains et Fermes,À Vendre,Ariana,Sidi Thabet,,,,600.0
5016,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,34.0
6519,Appartements,À Vendre,Tunis,La Marsa,229.0,4.0,2.0,800.0
344,Maisons et Villas,À Louer,Tunis,Menzah,150.0,3.0,1.0,0.85
4791,Appartements,À Louer,Tunis,La Marsa,100.0,2.0,1.0,1.3
10985,Appartements,À Vendre,Mahdia,Mahdia,125.0,2.0,1.0,180.0
11475,Terrains et Fermes,À Vendre,Zaghouan,Zaghouan,,,,80.0
63,"Magasins, Commerces et Locaux industriels",À Vendre,Ben arous,Mégrine,72.0,1.0,1.0,70.0
3122,Appartements,À Louer,Tunis,Menzah,60.0,1.0,1.0,1.1
6466,Maisons et Villas,À Vendre,Ariana,Ettadhamen,267.0,6.0,2.0,220.0
4376,Terrains et Fermes,À Vendre,Monastir,Bekalta,,,,159.0
1792,Appartements,À Vendre,Mahdia,Mahdia,109.0,2.0,1.0,250.0
11831,Maisons et Villas,À Vendre,Sfax,Sakiet Eddaïer,440.0,5.0,2.0,395.0
339,Maisons et Villas,À Vendre,Ben arous,Boumhel,110.0,3.0,1.0,138.0
10407,Terrains et Fermes,À Vendre,Nabeul,El Haouaria,,,,70.0
6746,Appartements,À Louer,Sousse,Autres villes,100.0,1.0,1.0,0.75
656,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,133.0
5325,Appartements,À Louer,Ben arous,El Mourouj,57.0,1.0,1.0,0.4
8427,Appartements,À Louer,Gabès,Autres villes,250.0,2.0,1.0,0.075
11313,Appartements,À Louer,Sousse,Akouda,150.0,2.0,1.0,0.07
8004,Terrains et Fermes,À Vendre,Sfax,Menzel Chaker,,,,19.9
2897,Bureaux et Plateaux,À Louer,Tunis,Autres villes,200.0,3.0,2.0,2.0
12082,Appartements,À Louer,Tunis,Autres villes,80.0,3.0,1.0,0.65
6785,Appartements,À Louer,Tunis,La Marsa,74.0,1.0,1.0,235.0
10521,Appartements,À Louer,Sousse,Sousse Jawhara,115.0,2.0,1.0,0.85
80,Maisons et Villas,À Vendre,Ben arous,Boumhel,180.0,4.0,1.0,320.0
7824,"Magasins, Commerces et Locaux industriels",À Louer,Sousse,Sousse,450.0,1.0,1.0,0.95
10350,Appartements,À Louer,La manouba,Denden,100.0,2.0,1.0,0.5
10017,Terrains et Fermes,À Vendre,Sousse,Hergla,,,,140.0
7082,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,190.0
2255,Maisons et Villas,À Vendre,Kairouan,Kairouan Nord,300.0,2.0,1.0,390.0
7851,Appartements,À Louer,Tunis,Autres villes,60.0,1.0,1.0,0.46
7475,Appartements,À Vendre,Sousse,Sousse,91.0,2.0,1.0,145.0
8477,Maisons et Villas,À Louer,La manouba,Autres villes,100.0,3.0,1.0,0.3
3915,Maisons et Villas,À Louer,La manouba,Autres villes,180.0,3.0,2.0,0.4
1040,Terrains et Fermes,À Vendre,Bizerte,Ghar El Melh,,,,200.0
11562,Appartements,À Vendre,Ariana,Borj Louzir,100.0,3.0,1.0,107.0
11521,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,75.0
8875,Terrains et Fermes,À Vendre,Ariana,Raoued,,,,120.0
4920,Maisons et Villas,À Louer,Tunis,La Marsa,450.0,4.0,3.0,5.5
4793,Terrains et Fermes,À Vendre,Zaghouan,Zaghouan,,,,100.0
9614,"Magasins, Commerces et Locaux industriels",À Vendre,Tunis,Le Kram,50.0,1.0,1.0,47.0
9846,Bureaux et Plateaux,À Vendre,Bizerte,Bizerte Nord,30.0,3.0,1.0,87.0
2415,Terrains et Fermes,À Vendre,Kasserine,Kasserine Sud,,,,45.0
7868,Appartements,À Louer,Tunis,Autres villes,160.0,3.0,2.0,1.9
5800,Appartements,À Vendre,Ariana,Jardins D'el Menzah,130.0,2.0,1.0,280.0
9969,Terrains et Fermes,À Vendre,Sidi bouzid,Mezzouna,,,,60.0
2417,Maisons et Villas,À Vendre,Tunis,Autres villes,140.0,6.0,2.0,230.0
9452,Locations de vacances,À Louer,Médenine,Djerba - Midoun,45.0,1.0,1.0,0.04
10919,Maisons et Villas,À Louer,Gafsa,El Guettar,250.0,2.0,1.0,0.011
12409,Appartements,À Louer,La manouba,Oued Ellil,90.0,3.0,1.0,0.36
890,Appartements,À Louer,Tunis,Carthage,200.0,3.0,2.0,1.3
2604,Maisons et Villas,À Vendre,La manouba,Djedeida,165.0,4.0,1.0,100.0
9571,Appartements,À Louer,Sousse,Sousse Médina,56.0,2.0,1.0,0.3
7428,Terrains et Fermes,À Vendre,Bizerte,Autres villes,,,,21820.107
10530,Appartements,À Vendre,Ariana,Autres villes,88.0,2.0,1.0,205.0
7319,Maisons et Villas,À Louer,Tunis,Agba,100.0,3.0,1.0,0.57
354,Appartements,À Louer,Sousse,Kantaoui,150.0,2.0,1.0,1.5
9767,Appartements,À Louer,Sfax,Sfax,91.0,2.0,1.0,0.3
5780,Maisons et Villas,À Vendre,Nabeul,Hammamet,1230.0,4.0,4.0,650.0
8277,Appartements,À Louer,Ariana,Ennasr,120.0,2.0,1.0,1.2
10579,Maisons et Villas,À Vendre,Mahdia,Mahdia,190.0,5.0,2.0,110.0
5632,Terrains et Fermes,À Vendre,Ariana,Chotrana,,,,860.0
8000,Maisons et Villas,À Vendre,Ben arous,Radès,614.0,12.0,3.0,430.0
3985,Terrains et Fermes,À Vendre,Sfax,Sfax,,,,30.0
5918,Terrains et Fermes,À Vendre,La manouba,Autres villes,,,,30.0
1652,Appartements,À Louer,Sousse,Hammam Sousse,90.0,2.0,1.0,0.55
8613,Appartements,À Louer,Tunis,La Marsa,86.0,1.0,1.0,266.0
10891,Bureaux et Plateaux,À Louer,Tunis,La Marsa,700.0,9.0,2.0,17.5
6143,Terrains et Fermes,À Vendre,Ariana,Raoued,,,,380.0
4445,"Magasins, Commerces et Locaux industriels",À Louer,Sfax,Sakiet Eddaïer,100.0,1.0,0.0,0.45
6355,Maisons et Villas,À Vendre,Mahdia,Autres villes,350.0,4.0,2.0,1900.0
5008,Bureaux et Plateaux,À Louer,Tunis,Tunis,190.0,5.0,2.0,3.0
7494,Maisons et Villas,À Vendre,Sousse,Sousse,570.0,5.0,3.0,700.0
4208,Terrains et Fermes,À Vendre,Tunis,La Goulette,,,,250.0
4230,Bureaux et Plateaux,À Louer,Tunis,La Marsa,300.0,1.0,1.0,3.5
10034,Appartements,À Louer,Médenine,Autres villes,50.0,1.0,1.0,0.045
53,"Magasins, Commerces et Locaux industriels",À Vendre,La manouba,Douar Hicher,178.0,3.0,2.0,300000.0
1337,Maisons et Villas,À Vendre,Ariana,Ghazela,410.0,4.0,2.0,530.0
8040,Appartements,À Vendre,Nabeul,Hammamet,65.0,2.0,1.0,110.0
10405,Maisons et Villas,À Louer,Gabès,Gabès,120.0,2.0,1.0,0.33
5756,"Magasins, Commerces et Locaux industriels",À Vendre,La manouba,La manouba,50.0,2.0,2.0,28.0
740,Appartements,À Vendre,Ariana,Ariana Ville,113.0,2.0,2.0,170.0
7425,Appartements,À Vendre,Ben arous,Medina Jedida,116.0,2.0,1.0,201.25
10265,Appartements,À Vendre,Nabeul,Hammamet,65.0,1.0,1.0,85.0
6350,Maisons et Villas,À Louer,Ariana,Mnihla,155.0,3.0,1.0,0.465
8589,Maisons et Villas,À Louer,Sousse,Sahloul,200.0,3.0,1.0,0.9
7953,Appartements,À Louer,Tunis,Centre Ville - Lafayette,45.0,2.0,1.0,0.49
11113,Appartements,À Louer,La manouba,Manouba Ville,85.0,2.0,1.0,0.4
1502,Terrains et Fermes,À Vendre,Sousse,M'saken,,,,200.0
7304,Appartements,À Louer,Tunis,La Marsa,170.0,2.0,1.0,2.0
6622,Locations de vacances,À Louer,Tunis,Carthage,75.0,1.0,1.0,0.13
10033,Maisons et Villas,À Vendre,Nabeul,Korba,220.0,6.0,2.0,430.0
10110,Maisons et Villas,À Vendre,Sousse,Hergla,207.0,4.0,1.0,420.0
8334,Appartements,À Louer,Tunis,La Marsa,67.0,1.0,1.0,0.95
1149,Appartements,À Louer,Ariana,La Soukra,77.0,1.0,1.0,1.1
5573,Terrains et Fermes,À Vendre,Jendouba,Tabarka,,,,60.0
690,Appartements,À Louer,Tunis,Ezzouhour,80.0,2.0,1.0,0.45
11140,Appartements,À Vendre,Mahdia,Mahdia,197.0,2.0,1.0,230.0
6015,Maisons et Villas,À Louer,Ariana,Borj Louzir,130.0,2.0,1.0,0.55
11254,Maisons et Villas,À Vendre,Nabeul,Hammamet,550.0,4.0,2.0,1200.0
5069,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,51.0
9558,Appartements,À Louer,Ben arous,Boumhel,100.0,3.0,1.0,0.5
11213,Appartements,À Louer,Sousse,Sousse,142.0,3.0,2.0,2.0
9508,Maisons et Villas,À Vendre,Ben arous,Mornag,100.0,12.0,3.0,155.0
298,Maisons et Villas,À Louer,Zaghouan,Ez-Zeriba,130.0,3.0,1.0,0.5
2470,Maisons et Villas,À Vendre,Ben arous,El Mourouj,102.0,7.0,2.0,255.0
3567,Appartements,À Vendre,Tunis,Menzah,100.0,3.0,1.0,225.0
8852,Terrains et Fermes,À Vendre,Ariana,Mnihla,,,,2000.0
4757,Terrains et Fermes,À Vendre,Sousse,Hergla,,,,130.0
6378,Maisons et Villas,À Vendre,La manouba,Douar Hicher,1000.0,3.0,2.0,500000.0
4219,Appartements,À Louer,Ben arous,Boumhel,130.0,4.0,2.0,0.65
854,Appartements,À Vendre,Nabeul,Hammamet,30.0,1.0,1.0,110.0
2559,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,30.0
11426,Appartements,À Louer,Ben arous,Ezzahra,120.0,3.0,1.0,0.7
7863,Appartements,À Vendre,Ariana,Borj Louzir,67.0,2.0,1.0,87000.0
8733,Maisons et Villas,À Vendre,Sousse,Sousse Riadh,284.0,11.0,7.0,650.0
12380,Terrains et Fermes,À Vendre,Zaghouan,El Fahs,,,,180.0
4914,Terrains et Fermes,À Vendre,Jendouba,Tabarka,,,,150.0
12187,Maisons et Villas,À Vendre,La manouba,Autres villes,140.0,6.0,2.0,350.0
3565,Terrains et Fermes,À Vendre,Ariana,Raoued,,,,90.0
10476,Terrains et Fermes,À Vendre,Ariana,Jardins D'el Menzah,,,,800.0
12399,Maisons et Villas,À Vendre,Ariana,Ariana Ville,1045.0,5.0,2.0,1800.0
8422,Bureaux et Plateaux,À Louer,Tunis,La Marsa,60.0,2.0,1.0,0.75
1506,"Magasins, Commerces et Locaux industriels",À Louer,Ben arous,Mégrine,100.0,1.0,1.0,1.5
4556,Terrains et Fermes,À Vendre,Sfax,Sfax,,,,380.0
10636,Appartements,À Vendre,Tunis,L'aouina,60.0,1.0,1.0,172.0
3459,Terrains et Fermes,À Vendre,Sousse,Sousse Jawhara,,,,546.0
10158,Appartements,À Louer,Tunis,La Marsa,170.0,4.0,3.0,2.2
942,Appartements,À Louer,Sfax,Autres villes,70.0,2.0,1.0,0.4
4827,Appartements,À Louer,Ariana,Jardins D'el Menzah,150.0,4.0,1.0,1.05
11942,Maisons et Villas,À Louer,Sousse,Hammam Sousse,120.0,2.0,1.0,0.75
1141,Maisons et Villas,À Vendre,Tunis,Carthage,140.0,3.0,2.0,850.0
1889,Maisons et Villas,À Vendre,Nabeul,Hammamet,180.0,2.0,1.0,185.0
7246,Bureaux et Plateaux,À Vendre,Tunis,Centre Urbain Nord,100.0,2.0,1.0,342.0
6046,Appartements,À Louer,Tunis,La Marsa,80.0,1.0,1.0,0.95
7162,Maisons et Villas,À Vendre,Nabeul,Kélibia,260.0,3.0,2.0,130.0
258,Maisons et Villas,À Louer,Sousse,Autres villes,100.0,3.0,1.0,0.37
12491,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,17.9
12020,Appartements,À Vendre,Tunis,Le Bardo,55.0,2.0,1.0,88.0
10006,Terrains et Fermes,À Vendre,Kairouan,Haffouz,,,,47.5
2608,Maisons et Villas,À Vendre,Tunis,Le Bardo,152.0,7.0,3.0,230.0
10061,Bureaux et Plateaux,À Louer,Ariana,Autres villes,100.0,4.0,2.0,1.5
6748,Terrains et Fermes,À Vendre,Sousse,Zaouit-Ksibat Thrayett,,,,300.0
12323,Appartements,À Vendre,Ariana,La Soukra,60.0,1.0,1.0,100.0
1394,Colocations,À Louer,Tunis,Autres villes,162.0,1.0,1.0,0.2
8044,Appartements,À Vendre,Sousse,Sousse Riadh,115.0,2.0,1.0,222.0
4667,Appartements,À Vendre,Monastir,Monastir,74.0,2.0,1.0,75.0
10465,Appartements,À Vendre,Ben arous,Boumhel,108.0,2.0,1.0,169.0
12240,Terrains et Fermes,À Vendre,Bizerte,Mateur,,,,600.0
761,Appartements,À Louer,Ariana,Autres villes,100.0,2.0,2.0,0.7
5775,Appartements,À Vendre,La manouba,Autres villes,135.0,3.0,1.0,235.0
2234,Appartements,À Louer,Sfax,Sakiet Eddaïer,125.0,4.0,1.0,0.47
2763,Terrains et Fermes,À Vendre,Tunis,Autres villes,,,,190.9
12348,Maisons et Villas,À Louer,Ben arous,Boumhel,150.0,4.0,2.0,0.75
8822,Maisons et Villas,À Vendre,Nabeul,Hammamet,360.0,3.0,1.0,285.0
2770,Terrains et Fermes,À Vendre,Nabeul,Hammamet,,,,50.0
5554,Terrains et Fermes,À Vendre,Bizerte,Autres villes,,,,35.0
2691,Terrains et Fermes,À Vendre,Bizerte,Autres villes,,,,120.0
11241,Appartements,À Louer,Sousse,Sahloul,135.0,3.0,1.0,1.0
9636,Appartements,À Vendre,Tunis,La Goulette,122.0,2.0,2.0,565.0
11000,Appartements,À Louer,Ariana,Borj Louzir,100.0,2.0,1.0,0.45
8777,Appartements,À Louer,Monastir,Monastir,100.0,2.0,1.0,0.6
3791,Bureaux et Plateaux,À Louer,Tunis,Le Kram,1500.0,1.0,4.0,22.5
9488,Maisons et Villas,À Vendre,Tunis,La Marsa,775.0,10.0,4.0,2500.0
4940,Appartements,À Vendre,Sousse,Hergla,106.0,2.0,1.0,226.0
2117,Terrains et Fermes,À Vendre,Tunis,La Marsa,,,,1200.0
